lextale_instructions_loop.thisRepN,lextale_instructions_loop.thisTrialN,lextale_instructions_loop.thisN,lextale_instructions_loop.thisIndex,lextale_instructions_loop.ran,instructions_text,continue_text,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,lextale_practice_trials.thisRepN,lextale_practice_trials.thisTrialN,lextale_practice_trials.thisN,lextale_practice_trials.thisIndex,lextale_practice_trials.ran,stim,word,correct_response,prac_button_real,prac_button_false,key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,lextail_trials.thisRepN,lextail_trials.thisTrialN,lextail_trials.thisN,lextail_trials.thisIndex,lextail_trials.ran,button_real,button_false
0,0,0,0,1,"Este es un test de vocabulario en español. 
  
  A continuación vas a ver 90 secuencias de letras que parecen 'españolas'.
  
  Solo algunas de ellas son palabras de verdad.",(presiona la barra espaciadora para continuar),5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,"Por favor, señala las palabras que tú conoces (aquellas que estás convencido que son palabras españolas, incluso aunque no seas capaz de dar el significado preciso).",(presiona la barra espaciadora para continuar),5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,Pero cuidado: los errores se penalizan. Por eso no tiene sentido tratar de incrementar tu puntuación marcando como reales palabras que nunca has visto.,(presiona la barra espaciadora para continuar),5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,"Presiona la tecla 1 si piensas que es una palabra real y la tecla 
  0 si piensas que es una palabra falsa. 
  
  Vamos a practicar un poco...",(presiona la barra espaciadora para continuar),5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,0,1,9.28,0,0,0,0,1,0,depiste,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,1,1,1.765,0,1,1,1,1,0,sí,1,REAL,FALSA,,,,,,,,,,
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,0,1,2.598,0,2,2,2,1,0,coné,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,1,0,3.365,0,3,3,3,1,0,calpar,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,0,1,1.703,0,4,4,4,1,0,joten,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,1,1,2.348,0,5,5,5,1,0,sacapuntas,1,REAL,FALSA,,,,,,,,,,
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,1,0,2.083,0,6,6,6,1,0,priba,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,0,1,1.849,0,7,7,7,1,0,pelasula,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,1,1,1.233,0,8,8,8,1,0,bien,1,REAL,FALSA,,,,,,,,,,
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,1,1,0.649,0,9,9,9,1,0,casa,1,REAL,FALSA,,,,,,,,,,
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,1,0,0.854,0,10,10,10,1,0,lejo,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,1,0,2.512,0,11,11,11,1,0,pretantas,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,2,pellizcar,1,,,0,0,1.985,0,0,0,1,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,83,guante,1,,,1,1,2.966,0,1,1,82,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,21,capillo,0,,,1,0,2.499,0,2,2,20,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,53,vegada,0,,,0,1,1.897,0,3,3,52,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,84,escuto,0,,,0,1,2.182,0,4,4,83,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,19,brecedad,0,,,1,0,3.049,0,5,5,18,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,20,ávido,1,,,1,1,1.565,0,6,6,19,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,69,engatusar,1,,,0,0,1.933,0,7,7,68,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,80,hormiga,1,,,0,0,2.099,0,8,8,79,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,41,rebuscar,1,,,1,1,1.348,0,9,9,40,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,86,barato,1,,,1,1,1.283,0,10,10,85,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,44,cuchara,1,,,1,1,1.817,0,11,11,43,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,43,canela,1,,,1,1,1.449,0,12,12,42,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,27,acutación,0,,,1,0,2.715,0,13,13,26,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,42,cadallo,0,,,0,1,1.105,0,14,14,41,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,73,hervidor,1,,,1,1,1.799,0,15,15,72,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,7,pésimo,1,,,1,1,2.131,0,16,16,6,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,15,regar,1,,,1,1,1.965,0,17,17,14,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,62,flaco,1,,,1,1,1.249,0,18,18,61,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,82,empirador,0,,,1,0,4.051,0,19,19,81,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,22,lacayo,1,,,0,0,0.917,0,20,20,21,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,12,asesinato,1,,,1,1,4.997,0,21,21,11,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,31,pandilla,1,,,1,1,1.615,0,22,22,30,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,68,alegre,1,,,1,1,2.239,0,23,23,67,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,52,camisa,1,,,1,1,1.216,0,24,24,51,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,23,lampera,0,,,0,1,1.433,0,25,25,22,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,32,fatacidad,0,,,0,1,1.849,0,26,26,31,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,76,atar,1,,,1,1,1.632,0,27,27,75,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,48,ladrón,1,,,1,1,0.899,0,28,28,47,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,56,musgo,1,,,0,0,0.9,0,29,29,55,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,26,secuestro,1,,,1,1,0.917,0,30,30,25,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,10,antar,0,,,0,1,49.209,0,31,31,9,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,61,seda,1,,,1,1,6.414,0,32,32,60,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,5,zapato,1,,,1,1,1.281,0,33,33,4,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,59,besar,1,,,1,1,1.399,0,34,34,58,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,34,aviso,1,,,1,1,5.399,0,35,35,33,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,49,ganar,1,,,1,1,1.682,0,36,36,48,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,30,alardio,0,,,1,0,7.264,0,37,37,29,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,54,fomentar,1,,,0,0,9.597,0,38,38,53,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,50,flamida,0,,,1,0,9.113,0,39,39,49,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,17,floroso,0,,,1,0,6.364,0,40,40,16,1,REAL,FALSA
,,,,,,,5fc18d478a746025809c8d29,001,2020-12-14_03h24.09.979,lextale_sp,2020.2.3,Win32,60,,,,,,,,,6,tergiversar,1,,,1,1,13.198,0,41,41,5,1,REAL,FALSA
