lextale_instructions_loop.thisRepN,lextale_instructions_loop.thisTrialN,lextale_instructions_loop.thisN,lextale_instructions_loop.thisIndex,lextale_instructions_loop.ran,instructions_text,continue_text,participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp_lextale_practice.keys,key_resp_lextale_practice.corr,key_resp_lextale_practice.rt,lextale_practice_trials.thisRepN,lextale_practice_trials.thisTrialN,lextale_practice_trials.thisN,lextale_practice_trials.thisIndex,lextale_practice_trials.ran,stim,word,correct_response,prac_button_real,prac_button_false,key_resp_lextale_trial.keys,key_resp_lextale_trial.corr,key_resp_lextale_trial.rt,lextail_trials.thisRepN,lextail_trials.thisTrialN,lextail_trials.thisN,lextail_trials.thisIndex,lextail_trials.ran,button_real,button_false
0,0,0,0,1,"Este es un test de vocabulario en español. 
  
  A continuación vas a ver 90 secuencias de letras que parecen 'españolas'.
  
  Solo algunas de ellas son palabras de verdad.",(presiona la barra espaciadora para continuar),5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,1,1,"Por favor, señala las palabras que tú conoces (aquellas que estás convencido que son palabras españolas, incluso aunque no seas capaz de dar el significado preciso).",(presiona la barra espaciadora para continuar),5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,2,2,2,1,Pero cuidado: los errores se penalizan. Por eso no tiene sentido tratar de incrementar tu puntuación marcando como reales palabras que nunca has visto.,(presiona la barra espaciadora para continuar),5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,3,1,"Presiona la tecla 1 si piensas que es una palabra real y la tecla 
  0 si piensas que es una palabra falsa. 
  
  Vamos a practicar un poco...",(presiona la barra espaciadora para continuar),5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,1,0,26.849015,0,0,0,0,1,0,depiste,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,1,1,1.552195,0,1,1,1,1,0,sí,1,REAL,FALSA,,,,,,,,,,
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,0,1,6.314845,0,2,2,2,1,0,coné,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,0,1,1.507365,0,3,3,3,1,0,calpar,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,0,1,0.98495,0,4,4,4,1,0,joten,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,0,0,0.96691,0,5,5,5,1,0,sacapuntas,1,REAL,FALSA,,,,,,,,,,
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,1,0,1.602685,0,6,6,6,1,0,priba,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,1,0,1.58084,0,7,7,7,1,0,pelasula,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,1,1,0.98714,0,8,8,8,1,0,bien,1,REAL,FALSA,,,,,,,,,,
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,1,1,0.76521,0,9,9,9,1,0,casa,1,REAL,FALSA,,,,,,,,,,
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,0,1,0.93041,0,10,10,10,1,0,lejo,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,0,1,0.983705,0,11,11,11,1,0,pretantas,0,REAL,FALSA,,,,,,,,,,
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,,,,,,,,,46,martillo,1,,,0,0,1.25733,0,0,0,45,1,REAL,FALSA
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,,,,,,,,,86,barato,1,,,0,0,1.34483,0,1,1,85,1,REAL,FALSA
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,,,,,,,,,64,orgulloso,1,,,0,0,0.933035,0,2,2,63,1,REAL,FALSA
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,,,,,,,,,27,acutación,0,,,1,0,0.972265,0,3,3,26,1,REAL,FALSA
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,,,,,,,,,35,rompido,0,,,0,1,0.91514,0,4,4,34,1,REAL,FALSA
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,,,,,,,,,57,tacaño,1,,,1,1,0.914455,0,5,5,56,1,REAL,FALSA
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,,,,,,,,,28,merodear,1,,,0,0,0.83168,0,6,6,27,1,REAL,FALSA
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,,,,,,,,,24,látigo,1,,,1,1,0.971175,0,7,7,23,1,REAL,FALSA
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,,,,,,,,,42,cadallo,0,,,0,1,1.069645,0,8,8,41,1,REAL,FALSA
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,,,,,,,,,63,esposante,0,,,1,0,0.985405,0,9,9,62,1,REAL,FALSA
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,,,,,,,,,25,bisagra,1,,,0,0,0.93821,0,10,10,24,1,REAL,FALSA
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,,,,,,,,,76,atar,1,,,0,0,0.816975,0,11,11,75,1,REAL,FALSA
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,,,,,,,,,39,torpe,1,,,1,1,0.727615,0,12,12,38,1,REAL,FALSA
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,,,,,,,,,34,aviso,1,,,1,1,0.69781,0,13,13,33,1,REAL,FALSA
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,,,,,,,,,22,lacayo,1,,,0,0,0.857395,0,14,14,21,1,REAL,FALSA
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,,,,,,,,,16,abracer,0,,,1,0,0.637505,0,15,15,15,1,REAL,FALSA
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,,,,,,,,,10,antar,0,,,0,1,0.835345,0,16,16,9,1,REAL,FALSA
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,,,,,,,,,53,vegada,0,,,0,1,1.187905,0,17,17,52,1,REAL,FALSA
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,,,,,,,,,44,cuchara,1,,,0,0,1.948735,0,18,18,43,1,REAL,FALSA
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,,,,,,,,,77,tiburón,1,,,0,0,1.17118,0,19,19,76,1,REAL,FALSA
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,,,,,,,,,52,camisa,1,,,1,1,0.71636,0,20,20,51,1,REAL,FALSA
,,,,,,,5c96ab2d7183bd00127f88e7,001,2020-10-29_17h40.27.811,lextale_sp,2020.2.3,Win32,60,,,,,,,,,5,zapato,1,,,0,0,0.685815,0,21,21,4,1,REAL,FALSA
